period_name,start_date,end_date,period_days,is_rolling,strategy_return,ibit_bh_return,vs_bh,total_trades,win_rate,sharpe,max_dd,mr_trades,mr_win_rate,thu_trades,thu_win_rate,vix_avg,vix_max,ibit_volatility,ibit_trend,big_down_days
2wk: 06/15 - 06/29/25,2025-06-15,2025-06-29,14,True,3.224727591446899,0.19802433927993873,3.0267032521669606,2,50.0,0.9770960637468122,0.7277950109035394,1,100.0,1,0.0,18.716666751437717,21.600000381469727,1.4250310994141755,-1.7475696273306152,1
2wk: 06/08 - 06/22/25,2025-06-08,2025-06-22,14,True,-0.011724722894796287,-4.0242153708271955,4.012490647932399,1,0.0,0.0,0.011724722894796287,0,0.0,1,0.0,19.0755558013916,21.600000381469727,1.297206376413272,-5.018621120033892,1
2wk: 06/01 - 06/15/25,2025-06-01,2025-06-15,14,True,7.995063377030511,1.134250866944366,6.860812510086145,3,66.66666666666666,1.3359387112527277,0.011724722894791357,1,100.0,2,50.0,17.912000274658205,20.81999969482422,1.3619498978502798,0.6401635178705969,1
2wk: 05/25 - 06/08/25,2025-05-25,2025-06-08,14,True,11.162044828104317,-5.697011174986852,16.85905600309117,4,75.0,1.4531139472045957,2.115925648102119,2,50.0,2,100.0,18.325555589463974,19.309999465942383,1.5252887345060746,-5.184002685546875,2
2wk: 05/18 - 06/01/25,2025-05-18,2025-06-01,14,True,3.192481938284491,2.0072021797372237,1.1852797585472672,3,66.66666666666666,0.6291633314538908,2.1159256481021056,1,0.0,2,100.0,19.521111170450848,22.290000915527344,1.907575399317772,-0.8834848794218041,1
2wk: 05/11 - 05/25/25,2025-05-11,2025-05-25,14,True,0.9110659511236553,4.477866698569689,-3.5668007474460337,3,66.66666666666666,0.39874240875678924,1.3231756478181096,1,100.0,2,50.0,18.99700012207031,22.290000915527344,1.5462251457310865,6.82446560132394,1
2wk: 05/04 - 05/18/25,2025-05-04,2025-05-18,14,True,-3.4916810513935705,10.612855486909536,-14.104536538303106,3,33.33333333333333,-0.79560569652417,4.110221698862296,1,100.0,2,0.0,20.6629997253418,24.760000228881836,1.182956605325715,10.385977221499186,1
2wk: 04/27 - 05/11/25,2025-04-27,2025-05-11,14,True,-4.040500849593627,8.448880905772322,-12.48938175536595,2,50.0,-1.3650487212341613,4.110221698862293,0,0.0,2,50.0,23.76299991607666,25.149999618530273,0.7996201136241464,8.871564002483943,0
2wk: 04/20 - 05/04/25,2025-04-20,2025-05-04,14,True,-1.6310555155719886,11.202896310566004,-12.833951826137993,2,50.0,-1.2983680630989456,1.7025269843878958,0,0.0,2,50.0,26.545000076293945,33.81999969482422,0.8460800107531893,11.001603523147509,0
2wk: 04/13 - 04/27/25,2025-04-13,2025-04-27,14,True,-0.6131814582688275,12.383515073228125,-12.996696531496953,3,33.33333333333333,-0.24112746233192847,2.2474534456280053,1,100.0,2,0.0,29.71666653951009,33.81999969482422,1.2072302095420435,12.406797493614254,1
2wk: 04/06 - 04/20/25,2025-04-06,2025-04-20,14,True,26.843220981165906,10.485343370784554,16.35787761038135,5,80.0,2.105418460233936,0.5543646693273239,3,100.0,2,50.0,37.16777801513672,52.33000183105469,3.397238009380694,9.012870617826708,3
2wk: 03/30 - 04/13/25,2025-03-30,2025-04-13,14,True,25.21071121453864,1.685147360987121,23.52556385355152,4,75.0,2.1392269757389837,0.19307945091246437,2,100.0,2,50.0,35.210000610351564,52.33000183105469,3.1740533374164404,1.8372073711260268,2
2wk: 03/23 - 04/06/25,2025-03-23,2025-04-06,14,True,-2.145197717187839,-3.887994216168845,1.742796498981006,2,0.0,-1.7240084529032897,2.145197717187839,0,0.0,2,0.0,23.419000244140626,45.310001373291016,1.3621226607725274,-4.9222821954593705,0
2wk: 03/16 - 03/30/25,2025-03-16,2025-03-30,14,True,0.13372021942508583,0.8481796589760935,-0.7144594395510077,2,50.0,0.060692435622731085,1.9558946970168074,0,0.0,2,50.0,19.448999977111818,21.700000762939453,1.2767103507622886,-1.0403661791775796,0
2wk: 03/09 - 03/23/25,2025-03-09,2025-03-23,14,True,15.973646224223268,1.5109577763603568,14.462688447862911,4,100.0,4.31843333065734,0.0,2,100.0,2,100.0,0.0,0.0,2.2637653277815146,6.212426909389345,2
2wk: 03/02 - 03/16/25,2025-03-02,2025-03-16,14,True,15.538690566935584,-9.118372134692155,24.657062701627737,6,83.33333333333334,1.0564483656826833,9.455546830856504,4,75.0,2,100.0,24.190000343322755,27.860000610351562,3.6534511050352685,-1.5541965491110663,4
2wk: 02/23 - 03/09/25,2025-02-23,2025-03-09,14,True,27.901374458574814,-8.851188046428305,36.75256250500312,4,100.0,4.2803368940297295,0.0,2,100.0,2,100.0,21.473000144958498,24.8700008392334,3.465202392211013,-7.451787218885701,3
2wk: 02/16 - 03/02/25,2025-02-16,2025-03-02,14,True,7.866411911302149,-12.750455019022763,20.61686693032491,5,40.0,0.8521674447455915,5.228847024927363,3,33.33333333333333,2,50.0,18.084444257948135,21.1299991607666,2.189935789401803,-10.484016018734863,3
2wk: 02/09 - 02/23/25,2025-02-09,2025-02-23,14,True,-2.949681643686581,-3.0390261155502727,0.08934447186369177,3,0.0,-3.8571525796895036,2.949681643686581,1,0.0,2,0.0,15.786666870117188,18.209999084472656,2.042262600424008,-2.636335989546435,2
2wk: 02/02 - 02/16/25,2025-02-02,2025-02-16,14,True,1.3539784955889809,2.5199195471388287,-1.1659410515498478,3,33.33333333333333,0.46543380231837334,1.507986838692837,1,0.0,2,50.0,16.12300033569336,18.6200008392334,2.904205690947201,-3.9076066836567986,1
2wk: 01/26 - 02/09/25,2025-01-26,2025-02-09,14,True,18.38720058178764,-4.9720838961875256,23.359284477975166,3,100.0,1.6043337680398635,0.0,1,100.0,2,100.0,16.678000068664552,18.6200008392334,3.011130331389398,-5.548807091804889,2
2wk: 01/19 - 02/02/25,2025-01-19,2025-02-02,14,True,-1.8696636384912197,-3.6078167461963413,1.7381531077051215,2,50.0,-1.3134113699917531,1.9399662636353423,0,0.0,2,50.0,15.907777892218697,17.899999618530273,1.5241771581032788,-4.485268398875164,1
2wk: 01/12 - 01/26/25,2025-01-12,2025-01-26,14,True,-4.116409828226588,15.585670860100839,-19.702080688327428,2,0.0,-21.043439489346664,4.116409828226588,0,0.0,2,0.0,16.291111416286892,19.190000534057617,1.129108077230206,12.175872592268078,0
2wk: 01/05 - 01/19/25,2025-01-05,2025-01-19,14,True,-5.242099390238673,5.774855240821327,-11.016954631059999,2,0.0,-8.615831536450903,5.242099390238673,1,0.0,1,0.0,17.521111488342285,19.540000915527344,2.390936851828897,2.4926952184666766,1
2wk: 12/29 - 01/12/25,2024-12-29,2025-01-12,14,True,-1.5244755936172987,1.9696987321116526,-3.4941743257289515,2,50.0,-0.44292588037406583,3.0912076411205485,2,50.0,0,0.0,17.488750219345093,19.540000915527344,2.4966728458327387,0.5415516706985156,2
2wk: 12/22 - 01/05/25,2024-12-22,2025-01-05,14,True,9.51655858894961,3.1140567762188387,6.4025018127307725,4,100.0,2.9014266871446845,0.0,3,100.0,1,100.0,16.31749999523163,17.93000030517578,1.9390292781722331,5.844524711583412,3
2wk: 12/15 - 12/29/24,2024-12-15,2024-12-29,14,True,-5.306245002148753,-9.675248141466406,4.369003139317654,4,75.0,-0.3606955460089825,11.790776781429448,3,66.66666666666666,1,100.0,18.040000173780655,27.6200008392334,2.696830241910995,-10.86018064257187,4
2wk: 12/08 - 12/22/24,2024-12-08,2024-12-22,14,True,-10.056939343061385,-2.836373831677108,-7.220565511384278,4,50.0,-0.8195648931409246,12.415288258344244,3,33.33333333333333,1,100.0,17.0310001373291,27.6200008392334,2.7499457533114073,0.146175464505437,3
2wk: 12/01 - 12/15/24,2024-12-01,2024-12-15,14,True,12.609444562748177,5.945847071117165,6.663597491631012,4,75.0,1.4667082672416263,3.2896440365241837,2,50.0,2,100.0,13.608000087738038,14.1899995803833,2.4630218448473338,6.295889012474438,2
2wk: 11/24 - 12/08/24,2024-11-24,2024-12-08,14,True,10.489599674108522,4.313299758581503,6.176299915527019,3,66.66666666666666,1.3235816996269718,2.5771363679670323,2,50.0,1,100.0,13.634444660610622,14.600000381469727,2.3849555989367683,6.997406048251189,2
2wk: 11/17 - 12/01/24,2024-11-17,2024-12-01,14,True,-4.358057206085541,7.203881717422633,-11.561938923508174,2,0.0,-8.316392583476985,4.358057206085541,1,0.0,1,0.0,15.27888912624783,17.15999984741211,1.5299826025280994,5.908302231440525,1
2wk: 11/10 - 11/24/24,2024-11-10,2024-11-24,14,True,12.384199651726412,21.067299321047653,-8.68309966932124,3,66.66666666666666,1.5628020314448907,1.828031708085533,1,100.0,2,50.0,15.535000133514405,17.15999984741211,2.8195713036091505,13.960060573422034,1
2wk: 11/03 - 11/17/24,2024-11-03,2024-11-17,14,True,10.03823595750946,33.56393209975487,-23.525696142245412,3,66.66666666666666,1.0827130912246907,3.8773222143698876,1,100.0,2,50.0,16.30299997329712,21.979999542236328,3.042505078857368,36.28758449180454,1
2wk: 10/27 - 11/10/24,2024-10-27,2024-11-10,14,True,-1.3805884080497708,11.312098411997413,-12.692686820047184,3,33.33333333333333,-0.15475425338914128,6.550190957348718,1,0.0,2,50.0,19.340999794006347,23.15999984741211,1.8272787186392858,10.13360383996849,1
2wk: 10/20 - 11/03/24,2024-10-20,2024-11-03,14,True,0.31229159877048,1.889232799604788,-1.576941200834308,3,33.33333333333333,0.07971583166794655,2.7806848545561778,1,0.0,2,50.0,19.975,23.15999984741211,1.482072359638014,2.074148932824338,1
2wk: 10/13 - 10/27/24,2024-10-13,2024-10-27,14,True,-1.5665550957286907,3.0919431046215156,-4.6584982003502065,2,50.0,-0.7557982980843724,2.2273006131600748,0,0.0,2,50.0,19.228000259399415,20.639999389648438,1.1291171200671293,1.1711435461352964,0
2wk: 10/06 - 10/20/24,2024-10-06,2024-10-20,14,True,11.050313289093847,8.799776833304103,2.250536455789744,3,100.0,2.985580785471217,0.0,1,100.0,2,100.0,20.33700008392334,22.639999389648438,1.6185066376853685,8.347194140049739,1
2wk: 09/29 - 10/13/24,2024-09-29,2024-10-13,14,True,5.741499005833593,-1.3179559757518473,7.059454981585441,4,50.0,0.8206206836636443,4.137057948167294,2,50.0,2,50.0,20.089999771118165,22.639999389648438,1.7236189653480098,-0.5258855128402622,2
2wk: 09/22 - 10/06/24,2024-09-22,2024-10-06,14,True,-5.194145558885375,-1.497506641603493,-3.696638917281882,3,0.0,-5.399536848668264,5.194145558885375,1,0.0,2,0.0,17.36099977493286,20.489999771118164,1.2368001467723404,-1.4428425209601943,1
2wk: 09/15 - 09/29/24,2024-09-15,2024-09-29,14,True,-1.1729994786449605,12.248567541726041,-13.421567020371002,2,0.0,-1.6090828597230902,1.1729994786449605,0,0.0,2,0.0,16.4479998588562,18.229999542236328,0.693021961731711,13.37174017168914,0
2wk: 09/08 - 09/22/24,2024-09-08,2024-09-22,14,True,-2.7544099966282194,13.578676133054024,-16.333086129682243,2,0.0,-1.4911150345539577,2.7544099966282194,0,0.0,2,0.0,17.53099994659424,19.450000762939453,1.443658186856866,10.119966426907474,0
2wk: 09/01 - 09/15/24,2024-09-01,2024-09-15,14,True,5.056963103082471,1.1890651995730805,3.8678979035093906,3,66.66666666666666,0.8452199754113445,2.6852425692228072,1,100.0,2,50.0,19.352222018771702,22.3799991607666,3.0362979404574815,3.214073341430794,1
2wk: 08/25 - 09/08/24,2024-08-25,2024-09-08,14,True,5.689855866308335,-16.318107540661327,22.00796340696966,2,100.0,4.390015406506845,0.0,0,0.0,2,100.0,18.184444215562607,22.3799991607666,2.2383021814409982,-15.738432477586143,1
2wk: 08/18 - 09/01/24,2024-08-18,2024-09-01,14,True,5.368086454934091,-0.29878184992865253,5.666868304862744,2,100.0,3.540774808032256,0.0,0,0.0,2,100.0,15.954999923706055,17.549999237060547,2.231073019714675,-0.7436050206500848,0
2wk: 08/11 - 08/25/24,2024-08-11,2024-08-25,14,True,-2.032448901521893,6.926019607970997,-8.95846850949289,3,66.66666666666666,-0.20620965098716956,7.161734269904755,2,50.0,1,100.0,16.52599992752075,20.709999084472656,2.830599776728053,7.847798565837094,2
2wk: 08/04 - 08/18/24,2024-08-04,2024-08-18,14,True,1.9477970429418927,20.035267447614352,-18.08747040467246,3,66.66666666666666,0.2466011020376575,7.161734269904768,3,66.66666666666666,0,0.0,22.33400011062622,38.56999969482422,3.748901828803214,11.646979299134472,3
2wk: 07/28 - 08/11/24,2024-07-28,2024-08-11,14,True,27.70816649540091,-12.912159897363232,40.62032639276414,4,75.0,1.6354930340653555,2.432933691118269,3,66.66666666666666,1,100.0,23.092000198364257,38.56999969482422,3.752178042133242,-9.754829586807794,3
2wk: 07/21 - 08/04/24,2024-07-21,2024-08-04,14,True,-0.2789712788250654,-7.650416643871807,7.371445365046742,3,33.33333333333333,-0.040422987436633195,3.6727814222179767,1,0.0,2,50.0,17.51500005722046,23.389999389648438,1.6389134066748938,-8.528126557406734,2
2wk: 07/14 - 07/28/24,2024-07-14,2024-07-28,14,True,12.7343864698612,8.38222945867113,4.352157011190069,3,66.66666666666666,1.604331576508135,1.2707645909681697,1,100.0,2,50.0,15.575999927520751,18.459999084472656,2.0828786798878096,7.302902567676314,1
2wk: 07/07 - 07/21/24,2024-07-07,2024-07-21,14,True,20.47011614485582,17.791421236912136,2.678694907943683,4,100.0,2.866557134856963,0.0,2,100.0,2,100.0,13.635000038146973,16.520000457763672,2.2304562857447245,19.402990385800408,2
2wk: 06/30 - 07/14/24,2024-06-30,2024-07-14,14,True,5.503944528927186,-8.291460764954369,13.795405293881554,2,100.0,1.6154171988521333,0.0,1,100.0,1,100.0,12.436666700575087,12.920000076293945,1.3765289644742327,-8.750004238552517,1
2wk: 06/23 - 07/07/24,2024-06-23,2024-07-07,14,True,3.812752301403234,-7.657006741413731,11.469759042816966,3,100.0,2.744764699104403,0.0,2,100.0,1,100.0,12.468888812594944,13.329999923706055,1.6566462024537538,-4.634973063819384,2
2wk: 06/16 - 06/30/24,2024-06-16,2024-06-30,14,True,4.005264975767586,-8.679949384980164,12.68521436074775,3,100.0,2.975262431324877,0.0,1,100.0,2,100.0,12.769999927944607,13.329999923706055,1.6264510222574895,-10.110585041786404,2
2wk: 06/09 - 06/23/24,2024-06-09,2024-06-23,14,True,-5.8773125840427385,-7.310270645834575,1.4329580617918367,4,50.0,-0.7648136796295657,9.88952287641654,3,33.33333333333333,1,100.0,12.639999919467503,13.279999732971191,1.6150707172678818,-7.6029257639102275,3
2wk: 06/02 - 06/16/24,2024-06-02,2024-06-16,14,True,-7.219014282289099,-6.234287627799075,-0.9847266544900242,4,50.0,-1.0701940112465547,9.889522876416548,3,33.33333333333333,1,100.0,12.592999935150146,13.15999984741211,1.600993662908213,-5.425962130229939,4
